algorithm_name,run_id,TOTAL_TAGS,BIT_ERROR_RATE,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,FP,FN,Reliability,Goodput,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
ISMTI,15,500,0.09000000000000001,0.5,83020.0,0.08302000000000002,0.0004792212999999999,19,0,18,1,0.0,88.0,9.0,0.806,4854.251987472899,83.02,0.08302,0.08349922130000002,26.31578947368421,166.99844260000003,2.409058058299205,6022.6451457480125,0.006932105352326002,0.9473684210526315
LODS_MTI,15,500,0.09000000000000001,0.5,93825.0,0.09382500000000002,0.0003406410000000001,15,0,15,0,0.0,15.0,1.0,0.968,5158.5398347988275,93.825,0.093825,0.09416564100000002,33.333333333333336,188.33128200000004,2.1316280309086064,5329.070077271515,0.008835091266825003,1.0
LODS_MTI_128b,15,500,0.09000000000000001,0.5,96760.0,0.09676000000000001,0.0003390505000000001,16,0,16,0,0.0,5.0,0.0,0.99,5115.750310045473,96.76,0.09676,0.0970990505,31.25,194.19810100000004,2.066969822240595,5167.4245556014885,0.00939530412638,1.0
CT_MTI,26,500,0.005,0.5,320170.0,0.32016999999999857,0.0008568118000000003,317,127,190,0,0.40063091482649843,6.0,2.0,0.984,1536.6836368179404,320.17,0.32017,0.3210268117999986,1.5772870662460567,642.0536235999972,0.6246681450479432,1561.6703626198582,0.10278315433400555,0.5993690851735016
CR_MTI,26,500,0.005,0.5,1394850.0,1.3948499999999975,0.00417393750000002,510,3,507,0,0.0058823529411764705,18.0,0.0,0.964,345.5568699143277,1394.85,1.39485,1.3990239374999975,0.9803921568627451,2798.0478749999947,0.1433845933254472,358.461483313618,1.9514285392218715,0.9941176470588236
CPT,26,500,0.005,0.5,206210.0,0.20621000000000045,0.0005241874999999987,258,134,58,66,0.5193798449612403,1.0,0.0,0.998,2419.8632462053247,206.21,0.20621,0.20673418750000044,1.937984496124031,413.4683750000009,0.9698850686193685,2424.7126715484214,0.04263065680437509,0.2248062015503876
ECUMI,26,500,0.005,0.5,257422.5,0.25742249999999794,0.0006572812499999998,378,59,73,246,0.15608465608465608,1.0,1.0,0.996,1934.562829589488,257.4225,0.2574225,0.2580797812499979,1.3227513227513228,516.1595624999959,0.776932863288951,1942.3321582223775,0.06643554248882759,0.1931216931216931
ISMTI,26,500,0.005,0.5,118137.5,0.11813750000000005,0.0006276732500000001,27,0,26,1,0.0,4.0,0.0,0.992,4198.497513490635,118.1375,0.1181375,0.11876517325000005,18.51851851851852,237.5303465000001,1.6929425457623533,4232.356364405883,0.014030620654821881,0.9629629629629629
LODS_MTI,26,500,0.005,0.5,82085.0,0.082085,0.0003467150000000001,11,0,11,0,0.0,0.0,0.0,1.0,6091.246878235975,82.085,0.082085,0.082431715,45.45454545454545,164.86343,2.43649875129439,6091.246878235975,0.006766407325775001,1.0
LODS_MTI_128b,26,500,0.005,0.5,96760.0,0.09676000000000001,0.00033905050000000004,16,0,16,0,0.0,0.0,0.0,1.0,5167.4245556014885,96.76,0.09676,0.0970990505,31.25,194.19810100000004,2.066969822240595,5167.4245556014885,0.00939530412638,1.0
CT_MTI,1,500,0.085,0.5,295050.0,0.2950499999999983,0.0007920660000000012,293,129,160,4,0.4402730375426621,50.0,15.0,0.87,1474.326385358414,295.05,0.29505,0.2958420659999983,1.7064846416382253,591.6841319999966,0.6778512116590408,1694.6280291476023,0.08728820157329949,0.5460750853242321
CR_MTI,1,500,0.085,0.5,1394850.0,1.3948499999999975,0.00417393750000002,510,1,509,0,0.00196078431372549,175.0,0.0,0.65,232.9999641538517,1394.85,1.39485,1.3990239374999975,0.9803921568627451,2798.0478749999947,0.1433845933254472,358.461483313618,1.9514285392218715,0.9980392156862745
CPT,1,500,0.085,0.5,205340.0,0.20534000000000033,0.0005220124999999988,258,122,64,72,0.4728682170542636,33.0,0.0,0.9339999999999999,2274.2768091945068,205.34,0.20534,0.20586201250000033,1.937984496124031,411.72402500000067,0.9739943508327652,2434.985877081913,0.04227170564675007,0.24806201550387597
ECUMI,1,500,0.085,0.5,258532.5,0.25853249999999794,0.0006600562499999997,378,54,81,243,0.14285714285714285,23.0,15.0,0.924,1787.0093701952367,258.5325,0.2585325,0.25919255624999793,1.3227513227513228,518.3851124999959,0.7735971299546478,1933.9928248866197,0.06700969954870259,0.21428571428571427
ISMTI,1,500,0.085,0.5,108755.0,0.10875500000000007,0.0005616271999999999,25,0,24,1,0.0,70.0,10.0,0.84,3861.8914072916186,108.755,0.108755,0.10931662720000007,20.0,218.63325440000014,1.8389959082341043,4597.48977058526,0.011888729791136008,0.96
LODS_MTI,1,500,0.085,0.5,93825.0,0.09382500000000002,0.00034251300000000013,15,0,15,0,0.0,10.0,1.0,0.978,5211.830535571543,93.825,0.093825,0.09416751300000002,33.333333333333336,188.33502600000003,2.1316280309086064,5329.070077271515,0.008835266907225003,1.0
LODS_MTI_128b,1,500,0.085,0.5,96760.0,0.09676000000000001,0.0003394825000000001,16,0,16,0,0.0,11.0,0.0,0.978,5053.741215378255,96.76,0.09676,0.09709948250000001,31.25,194.19896500000002,2.066969822240595,5167.4245556014885,0.0093953459267,1.0
CT_MTI,4,500,0.06499999999999999,0.5,240160.0,0.24015999999999796,0.0006490450000000014,238,93,144,1,0.3907563025210084,84.0,6.0,0.8200000000000001,1707.195203197868,240.16,0.24016,0.24080904499999797,2.100840336134454,481.61808999999596,0.832778147901399,2081.9453697534977,0.05783270024719952,0.6050420168067226
CR_MTI,4,500,0.06499999999999999,0.5,1394850.0,1.3948499999999975,0.004173937500000022,510,2,508,0,0.00392156862745098,160.0,0.0,0.6799999999999999,243.75380865326022,1394.85,1.39485,1.3990239374999975,0.9803921568627451,2798.0478749999947,0.1433845933254472,358.461483313618,1.9514285392218715,0.996078431372549
CPT,4,500,0.06499999999999999,0.5,205195.0,0.20519500000000043,0.0005216499999999983,258,120,65,73,0.46511627906976744,16.0,0.0,0.968,2358.7319379127175,205.195,0.205195,0.20571665000000042,1.937984496124031,411.4333000000009,0.9746826189721972,2436.706547430493,0.042212027996750084,0.25193798449612403
ECUMI,4,500,0.06499999999999999,0.5,256682.5,0.25668249999999787,0.0006554312499999994,378,46,84,248,0.12169312169312169,11.0,11.0,0.956,1862.2227849580709,256.6825,0.2566825,0.2573379312499979,1.3227513227513228,514.6758624999958,0.7791727133715777,1947.9317834289445,0.06605414353807758,0.2222222222222222
ISMTI,4,500,0.06499999999999999,0.5,83670.0,0.08367000000000002,0.00049601085,19,0,18,1,0.0,74.0,8.0,0.836,4995.8168997251105,83.67,0.08367,0.08416601085000003,26.31578947368421,168.33202170000007,2.390343014222541,5975.857535556353,0.007042170127819502,0.9473684210526315
LODS_MTI,4,500,0.06499999999999999,0.5,93825.0,0.09382500000000002,0.00034168500000000005,15,0,15,0,0.0,4.0,0.0,0.992,5286.437516653344,93.825,0.093825,0.09416668500000001,33.333333333333336,188.33337000000003,2.1316280309086064,5329.070077271515,0.008835189220125002,1.0
LODS_MTI_128b,4,500,0.06499999999999999,0.5,96760.0,0.09676000000000001,0.0003398065,16,0,16,0,0.0,4.0,0.0,0.992,5126.085159156676,96.76,0.09676,0.09709980650000001,31.25,194.199613,2.066969822240595,5167.4245556014885,0.00939537727694,1.0
CT_MTI,10,500,0.09500000000000001,0.5,262380.0,0.26237999999999795,0.0007086522000000012,260,99,160,1,0.38076923076923075,65.0,13.0,0.844,1608.3542952968976,262.38,0.26238,0.26308865219999794,1.9230769230769231,526.1773043999958,0.7622532205198567,1905.6330512996417,0.06902920056423546,0.6153846153846154
