total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Drift_Percent,Payload_Bits,Run_ID
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,11
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,14
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,12
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,13
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,13
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,15
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,14
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,17
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,16
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,15
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,17
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,18
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,16
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,19
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,18
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,20
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,19
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,21
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,20
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,21
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,22
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,22
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,23
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,24
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.1,128,23
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.1,256,25
