K,Rho,Run_ID,Drift_Val,Scenario
64,4,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
128,2,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
64,4,15,0.0,Ideal (Drift=0%)
40,4,15,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
64,4,16,0.0,Ideal (Drift=0%)
40,4,16,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
64,4,17,0.0,Ideal (Drift=0%)
40,4,17,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
64,4,18,0.0,Ideal (Drift=0%)
40,4,18,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
64,4,19,0.0,Ideal (Drift=0%)
40,4,19,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
64,4,20,0.0,Ideal (Drift=0%)
40,4,20,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
64,4,21,0.0,Ideal (Drift=0%)
