algorithm_name,run_id,TOTAL_TAGS,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
Fixed (rho=2),12,700,0.1,99295.0,0.09929500000000004,0.0007830360000000003,22,0,22,0,0.0,99.295,0.099295,0.10007803600000004,31.818181818181817,142.96862285714292,2.8198801550934083,7049.700387733522,0.009937248584620003,1.0
Fixed (rho=3),5,1000,0.1,168545.0,0.16854500000000017,0.0018059939999999994,32,0,32,0,0.0,168.545,0.168545,0.17035099400000017,31.25,170.35099400000018,2.3732534338010622,5933.133584502655,0.028711808283730027,1.0
Fixed (rho=3),13,500,0.1,84260.0,0.08426000000000003,0.0005227425,16,0,16,0,0.0,84.26,0.08426,0.08478274250000004,31.25,169.56548500000008,2.3736055067647754,5934.0137669119395,0.007143793883050003,1.0
Adaptive (Ours),15,600,0.1,90075.0,0.09007500000000003,0.0006209640000000001,20,0,20,0,0.0,90.075,0.090075,0.09069596400000003,30.0,151.15994000000006,2.6644462947543714,6661.1157368859285,0.008169438957300003,1.0
Adaptive (Ours),10,400,0.1,62552.5,0.06255250000000002,0.0003143429999999999,14,0,14,0,0.0,62.5525,0.0625525,0.06286684300000002,28.571428571428573,157.16710750000004,2.557851404819951,6394.628512049879,0.0039324781967575015,1.0
Fixed (rho=4),1,400,0.1,113375.0,0.11337499999999999,0.0004983839999999997,25,0,25,0,0.0,113.375,0.113375,0.113873384,16.0,284.68345999999997,1.4112458654906284,3528.114663726571,0.012910394911,1.0
Fixed (rho=2),1,300,0.1,44237.5,0.04423750000000001,0.00018621675000000002,10,0,10,0,0.0,44.2375,0.0442375,0.044423716750000015,30.0,148.07905583333337,2.712630686634643,6781.576716586606,0.0019651941697281256,1.0
Fixed (rho=3),0,1000,0.1,168545.0,0.16854500000000017,0.0018059939999999998,32,0,32,0,0.0,168.545,0.168545,0.17035099400000017,31.25,170.35099400000018,2.3732534338010622,5933.133584502655,0.028711808283730027,1.0
Fixed (rho=2),8,800,0.1,113062.5,0.11306250000000002,0.0009945179999999994,25,0,25,0,0.0,113.0625,0.1130625,0.11405701800000002,32.0,142.57127250000002,2.830292979546711,7075.732448866777,0.012895571597625003,1.0
Fixed (rho=3),19,700,0.1,116795.0,0.11679500000000008,0.0009384030000000003,22,0,22,0,0.0,116.795,0.116795,0.11773340300000008,31.818181818181817,168.1905757142858,2.3973629008091097,5993.4072520227755,0.01375067280338501,1.0
Adaptive (Ours),19,800,0.1,117610.0,0.11761000000000002,0.0010272599999999997,26,0,26,0,0.0,117.61,0.11761,0.11863726000000002,30.76923076923077,148.29657500000002,2.720857069977043,6802.142674942606,0.013952928148600004,1.0
Adaptive (Ours),4,1000,0.1,147267.5,0.14726750000000008,0.0015495345,33,0,33,0,0.0,147.2675,0.1472675,0.14881703450000008,30.303030303030305,148.8170345000001,2.716145789125231,6790.3644728130785,0.021915912628228763,1.0
Fixed (rho=4),14,100,0.1,27585.0,0.027585,5.118615e-05,6,0,6,0,0.0,27.585,0.027585,0.02763618615,16.666666666666668,276.3618615,1.450063440275512,3625.1586006887806,0.0007623441949477499,1.0
Adaptive (Ours),2,300,0.1,48785.0,0.048785000000000016,0.00019831500000000001,11,0,11,0,0.0,48.785,0.048785,0.04898331500000001,27.272727272727273,163.27771666666672,2.4597724710464286,6149.43117761607,0.002389651022275001,1.0
Fixed (rho=2),9,900,0.1,128965.0,0.12896500000000002,0.0012468419999999995,29,0,29,0,0.0,128.965,0.128965,0.13021184200000002,31.03448275862069,144.67982444444448,2.7914550459426977,6978.637614856744,0.016792770203530004,1.0
Fixed (rho=2),14,700,0.1,99295.0,0.09929500000000004,0.0007829820000000002,22,0,22,0,0.0,99.295,0.099295,0.10007798200000004,31.818181818181817,142.96854571428577,2.8198801550934083,7049.700387733522,0.009937243222690004,1.0
Fixed (rho=2),9,1000,0.1,142720.0,0.14272000000000007,0.0015086069999999995,32,0,32,0,0.0,142.72,0.14272,0.14422860700000006,31.25,144.22860700000007,2.802690582959641,7006.726457399102,0.02058430679104001,1.0
Fixed (rho=2),4,1000,0.1,142720.0,0.14272000000000007,0.001508607,32,0,32,0,0.0,142.72,0.14272,0.14422860700000006,31.25,144.22860700000007,2.802690582959641,7006.726457399102,0.02058430679104001,1.0
Adaptive (Ours),2,700,0.1,103842.5,0.10384250000000003,0.0008116672500000004,23,0,23,0,0.0,103.8425,0.1038425,0.10465416725000003,30.434782608695652,149.50595321428577,2.6963911693189204,6740.977923297301,0.010867550362658128,1.0
Adaptive (Ours),15,200,0.1,34205.0,0.03420499999999999,0.00010559250000000001,8,0,8,0,0.0,34.205,0.034205,0.034310592499999994,25.0,171.55296249999995,2.3388393509720804,5847.0983774302,0.0011735938164624997,1.0
Fixed (rho=3),6,200,0.1,35482.5,0.0354825,0.00012064949999999998,7,0,7,0,0.0,35.4825,0.0354825,0.0356031495,28.571428571428573,178.0157475,2.2546325653491155,5636.581413372789,0.00126328875213375,1.0
